title,company,location,link
Бизнес-аналитик BI,Тинькофф,"Москва, Водный стадион",https://hh.ru/vacancy/42163458?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,Directum,"Москва, Технопарк",https://hh.ru/vacancy/42044035?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик 1С,ГРУППА КОМПАНИЙ SAMCOM,"Самара, Российская",https://hh.ru/vacancy/42193053?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик бизнес-процессов,РИЦ (Региональный информационный центр 1С),Екатеринбург,https://hh.ru/vacancy/41448381?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Экономист/бизнес-аналитик,АО ДПО Пластик,Дзержинск (Нижегородская область),https://hh.ru/vacancy/42179465?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик 1С,АО Полад,Тольятти,https://hh.ru/vacancy/40705780?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (junior),Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,Москва,https://hh.ru/vacancy/41815810?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик,Этажи Юг,Краснодар,https://hh.ru/vacancy/40474844?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,Группа ЦДС,"Санкт-Петербург, Спортивная",https://hh.ru/vacancy/40959972?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик бизнес-процессов,"Elis, Группа компаний",Ростов-на-Дону,https://hh.ru/vacancy/41586896?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Проджект-менеджер / бизнес-аналитик,ООО Колесо БТ,"Москва, Рязанский проспект",https://hh.ru/vacancy/41523982?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,"«РОСБАНК, Societe Generale Group», с опытом работы",Санкт-Петербург,https://hh.ru/vacancy/42175857?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
"Бизнес аналитик, Маркетплейс/ Управление сетью ПВЗ",Ozon Информационные технологии,Москва,https://hh.ru/vacancy/41180951?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (аудитор),ПАО Совкомбанк,Москва,https://hh.ru/vacancy/42010942?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Project manager/ Бизнес-аналитик в отдел рекламных технологий,Тинькофф,"Москва, Водный стадион",https://hh.ru/vacancy/41040037?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,АО ОКБ,Москва,https://hh.ru/vacancy/41478265?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Ведущий бизнес-аналитик,"Максимум, Автомобильный холдинг","Санкт-Петербург, Гражданский проспект",https://hh.ru/vacancy/40593859?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Менеджер по моделированию бизнес-процессов,АЛЬФАСКАН,Казань,https://hh.ru/vacancy/41163958?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (IT),Элком +,Томск,https://hh.ru/vacancy/41685859?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,FIX,Казань,https://hh.ru/vacancy/40929199?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,АО ГНИВЦ,Москва,https://hh.ru/vacancy/38221481?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,Метинвест Диджитал,Кривой Рог,https://hh.ru/vacancy/42206061?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (отчетность DWH),Тинькофф,Ростов-на-Дону,https://hh.ru/vacancy/41452124?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Ассистент бизнес-аналитика,"МКПЦ, Аудиторская фирма",Москва,https://hh.ru/vacancy/42179215?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Системный аналитик 1С (Бизнес-аналитик 1С),Эвентус,"Санкт-Петербург, Новочеркасская",https://hh.ru/vacancy/41772158?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,АО НИПИГАЗ,Краснодар,https://hh.ru/vacancy/41983949?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,Альфа-Лизинг,Новосибирск,https://hh.ru/vacancy/38995303?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО Магнум Консалтинг Групп,"Санкт-Петербург, Выборгская",https://hh.ru/vacancy/41750138?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик 1С,PARMA technologies group,Москва,https://hh.ru/vacancy/42035816?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Младший бизнес-аналитика,ООО Смартвэй,Пенза,https://hh.ru/vacancy/42179855?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО Центр Защиты Заемщиков,Москва,https://hh.ru/vacancy/42026164?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ПАО Ростелеком,Казань,https://hh.ru/vacancy/42119275?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО РАБЛЗ,Москва,https://hh.ru/vacancy/41886315?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Проектный менеджер по доработке 1С/бизнес-аналитик,ООО EMK Альянс,Минск,https://hh.ru/vacancy/41601069?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ПАО Ростелеком,Краснодар,https://hh.ru/vacancy/41419721?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Старший бизнес-аналитик СЭД,Syntellect (ООО СИНТЕЛЛЕКТ),Санкт-Петербург,https://hh.ru/vacancy/42087316?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,OCS Distribution,"Санкт-Петербург, Лесная",https://hh.ru/vacancy/40680055?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик по стратегическому анализу,АО Р-Фарм,Москва,https://hh.ru/vacancy/42179393?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (СДБО ФЛ),ООО ВЭБ Технологии,Минск,https://hh.ru/vacancy/41973226?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик / Бизнес-аналитик,ООО Моризо Диджитал,Москва,https://hh.ru/vacancy/42153401?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО КАЗАНЬЭКСПРЕСС ФУЛФИЛМЕНТ,Иннополис,https://hh.ru/vacancy/42162079?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,"АСНА, Сеть аптек","Москва, Ботанический сад",https://hh.ru/vacancy/40007068?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,Метинвест Диджитал,Запорожье,https://hh.ru/vacancy/42206062?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Финансовый контролер по продажам / бизнес-аналитик,Б.Браун Авитум Руссланд,"Санкт-Петербург, Василеостровская",https://hh.ru/vacancy/41832944?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик бизнес-процессов (удаленно),TISS,Красноярск,https://hh.ru/vacancy/41502157?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,Альфа-Лизинг,"Санкт-Петербург, Василеостровская",https://hh.ru/vacancy/37389273?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (Главный аналитик направления),АО ГНИВЦ,"Москва, Тушинская",https://hh.ru/vacancy/40929744?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ПАО МТС Банк. Головной офис,Москва,https://hh.ru/vacancy/42172684?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик ИТ,ПАО Совкомбанк,Москва,https://hh.ru/vacancy/42009541?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик Департамента соглашений с операторами связи (временная),АО Казахтелеком,Нур-Султан,https://hh.ru/vacancy/42172617?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик в отдел сопровождения Naumen Service Desk,NAUMEN,Екатеринбург,https://hh.ru/vacancy/41172461?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ПАО Ростелеком,Воронеж,https://hh.ru/vacancy/42085639?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик IT,Программные решения плюс,"Минск, Институт Культуры",https://hh.ru/vacancy/41466455?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,EFSOL,Курск,https://hh.ru/vacancy/41160825?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (по разработке ПО),BI Consult,Санкт-Петербург,https://hh.ru/vacancy/42198183?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,"«Почта России», Офис",Петрозаводск,https://hh.ru/vacancy/42198020?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (web),IT X100,Санкт-Петербург,https://hh.ru/vacancy/41653195?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик процессов обслуживания и продаж,Почта Банк,"Москва, Преображенская площадь",https://hh.ru/vacancy/42181418?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Технолог-аналитик WMS/бизнес процессов,ТОО Dostyk TransTerminal (Достык ТрансТерминал),Алматы,https://hh.ru/vacancy/41853776?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО Разрез Тайлепский,Новокузнецк,https://hh.ru/vacancy/40151452?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик 1С (С опытом внедрения МСФО),ООО Рациональная Автоматизация,Москва,https://hh.ru/vacancy/42178411?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик,ООО СК «Росгосстрах Жизнь»,"Москва, Курская и еще 1 ",https://hh.ru/vacancy/42206711?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Ведущий аналитик,"Гулливер, сеть супермаркетов",Ульяновск,https://hh.ru/vacancy/42225013?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО Лаборатория медицинских информационных технологий Элемент,"Москва, Достоевская и еще 2 ",https://hh.ru/vacancy/42015261?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО БОЛЬШАЯ ТРОЙКА,"Москва, Бауманская",https://hh.ru/vacancy/41903196?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,"Бубль Гум, Розничная сеть",Владивосток,https://hh.ru/vacancy/38968919?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,МСК БЛ ГРУПП,"Москва, Алексеевская",https://hh.ru/vacancy/41848746?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик HRA (кадровые бизнес-процессы),WiseAdvice,Москва,https://hh.ru/vacancy/40557301?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Младший бизнес-аналитик,ООО Диджитал Девелопмент,Омск,https://hh.ru/vacancy/41767194?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик/Старший бизнес- аналитик Creatio (Terrasoft),ООО Матиксон,Москва,https://hh.ru/vacancy/41724569?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,Группа компаний «Баланс»,"Самара, Российская",https://hh.ru/vacancy/42196563?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО Веселый Водовоз,Санкт-Петербург,https://hh.ru/vacancy/41538057?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,Эрманн,"Москва, Белорусская и еще 1 ",https://hh.ru/vacancy/41162205?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Стажер бизнес-аналитик/Junior CJE (Голосовой помощник),Сбер для экспертов,Москва,https://hh.ru/vacancy/42155735?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Системный аналитик / бизнес-аналитик IT,Группа Аквилон,"Санкт-Петербург, Московская",https://hh.ru/vacancy/41470860?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Системный/бизнес-аналитик,"Русские базовые информационные технологии, Научно-производственное объединение","Москва, Нагатинская",https://hh.ru/vacancy/24720534?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО Диджитал Горизонт,Москва,https://hh.ru/vacancy/42213658?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик данных в Департамент розничного бизнеса,АЛЬФА-БАНК,Минск,https://hh.ru/vacancy/40907676?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Business Analyst,ООО Он Зэ Спот Девелопмент,Минск,https://hh.ru/vacancy/40589958?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (Middle) по разработке продуктов для Корпоративного бизнеса,АЛЬФА-БАНК,"Минск, Академия наук",https://hh.ru/vacancy/40820157?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО Вебтрейд,"Новосибирск, Площадь Ленина",https://hh.ru/vacancy/42219829?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Customer Journey Expert (бизнес-аналитик),Сбер для экспертов,Москва,https://hh.ru/vacancy/42169168?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик АБС (кредиты),ПАО Банк Санкт-Петербург,Санкт-Петербург,https://hh.ru/vacancy/37532424?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес - Аналитик,"РЕСО-Гарантия, САО","Москва, Верхние Котлы и еще 1 ",https://hh.ru/vacancy/38850063?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (Navision),"Миррико, Группа Компаний","Казань, Площадь Тукая",https://hh.ru/vacancy/42174737?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО Лаборатория Безопасных Систем,"Москва, Сокол",https://hh.ru/vacancy/41456240?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес Аналитик ИТ,Металлинвестбанк,"Москва, Добрынинская и еще 2 ",https://hh.ru/vacancy/42182178?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик в проектный офис,Яндекс,Екатеринбург,https://hh.ru/vacancy/41941750?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Директор по развитию и продажам бизнес-аналитики,ООО Алфарма,"Москва, Проспект Вернадского",https://hh.ru/vacancy/41481812?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик [id78401],ПАО «Газпром нефть»,Москва,https://hh.ru/vacancy/42166451?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик/Менеджер проектов,Связной. Офис,"Москва, Автозаводская",https://hh.ru/vacancy/41054802?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,"Оптиком, компания",Красногорск,https://hh.ru/vacancy/40798219?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик в проектный офис,Яндекс,Казань,https://hh.ru/vacancy/41941749?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО К2РУ,"Москва, Бибирево",https://hh.ru/vacancy/42155551?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Аналитик бизнес-процессов,Здоровый Город,Воронеж,https://hh.ru/vacancy/39458762?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (CRM система),ООО СТРАТЕГИЯ,"Москва, Бауманская и еще 1 ",https://hh.ru/vacancy/39874239?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик производственных систем,ООО Бизнес солюшинс лаб,"Москва, Дмитровская",https://hh.ru/vacancy/42006632?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,РосТруд / Бизнес Процесс,"Санкт-Петербург, Владимирская",https://hh.ru/vacancy/42156604?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес - аналитик,Colvir Software Solutions,Минск,https://hh.ru/vacancy/41639320?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
