title,company,location,link
Менеджер по бизнес-анализу (аналитик),Билайн,Москва,https://hh.ru/vacancy/42206901?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик (Базы данных),Semrush,"Санкт-Петербург, Московские ворота",https://hh.ru/vacancy/41194997?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,Ecocomplect,Москва,https://hh.ru/vacancy/42190849?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик СЭД,ООО Юниксофт,Москва,https://hh.ru/vacancy/41848093?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Системный аналитик/Бизнес аналитик IT,ПАО Совкомбанк,"Санкт-Петербург, Фрунзенская",https://hh.ru/vacancy/42207509?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Младший аналитик/junior analyst,АО Правильный город УК,Москва,https://hh.ru/vacancy/41636724?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Специалист по бизнес-процессам,Дизайн Сервис,Махачкала,https://hh.ru/vacancy/41534678?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Ведущий бизнес-аналитик,Wowworks,"Самара, Российская",https://hh.ru/vacancy/42141887?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО ЖИЛСЕРВИС,Москва,https://hh.ru/vacancy/42195535?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,ООО Энкри,Москва,https://hh.ru/vacancy/41638889?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Ведущий бизнес-аналитик,Финансовое Агентство по Сбору Платежей,Москва,https://hh.ru/vacancy/42171381?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
Бизнес-аналитик,Контек,"Санкт-Петербург, Петроградская",https://hh.ru/vacancy/42012145?query=%D0%B1%D0%B8%D0%B7%D0%BD%D0%B5%D1%81-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
